,QUIN_LP_10_,QUIN_LP_11_,QUIN_LP_14_,QUIN_LP_17_,QUIN_LP_19_,QUIN_LP_1_,QUIN_LP_20_,QUIN_LP_22_,QUIN_LP_23_,QUIN_LP_25_,QUIN_LP_26_,QUIN_LP_28_,QUIN_LP_29_,QUIN_LP_31_,QUIN_LP_32_,QUIN_LP_37_,QUIN_LP_40_,QUIN_LP_41_,QUIN_LP_43_,QUIN_LP_44_,QUIN_LP_52_,QUIN_LP_55_,QUIN_LP_56_,QUIN_LP_59_,QUIN_LP_5_,QUIN_LP_61_,QUIN_LP_62_,QUIN_LP_63_,QUIN_LP_64_,QUIN_LP_65_,QUIN_LP_7_,QUIN_LP_8_,QUIN_LP_58_,COM_LP_269_Du-703,DOV_LP_080_Du-176,RIC_LP_199_Du-528,CROB_LP_177_Du-389,KIRN_LP_184_Du-426,MALV_LP_095_Du-201,TULP_LP_120_Du-248,DUD_LP_136_Du-287,STI_LP_034_Du-52,RSV_LP_050_Du-87,QUI1_LP_255_Du-654,BAI_LP_105_Du-222
QUIN_LP_52_,0.069339076,0.065250111,0.063245125,0.056811598,0.070787852,0.068382292,0.07247754,0.06729602,0.067082857,0.065779342,0.064321004,0.062935432,0.068767923,0.065762799,0.066371493,0.06786553,0.074114682,0.071440867,0.068359437,0.065073434,0,0.06530458,0.068736771,0.071023101,0.063923537,0.066108077,0.060215625,0.063746161,0.042886743,0.061619333,0.067328961,0.068618187,0.069868449,0.101548498,0.108755987,0.097749968,0.095797779,0.096702963,0.096159224,0.094575277,0.094149209,0.080258053,0.083960104,0.079699279,0.115416341
QUIN_LP_55_,0.069635909,0.06806532,0.068334748,0.068712318,0.07363817,0.069065004,0.074121376,0.068559352,0.068374772,0.058263713,0.044495734,0.044786642,0.059691057,0.068389953,0.068406018,0.070842087,0.072591919,0.07285052,0.06888818,0.066533781,0.06530458,0,0.058085358,0.074205808,0.066344855,0.067309519,0.063631839,0.065737464,0.068537049,0.065273542,0.067528387,0.071480911,0.072409562,0.104410639,0.111870217,0.101416862,0.099670568,0.0997516,0.099759183,0.098084903,0.097677746,0.083809213,0.088105923,0.083656098,0.119324075
QUIN_LP_56_,0.069679776,0.07022676,0.069091076,0.070838244,0.073326894,0.071185646,0.069431828,0.072083424,0.071928046,0.062458818,0.057158679,0.0587338,0.064120872,0.070599315,0.069892661,0.070281357,0.070957832,0.073812055,0.071006336,0.068960119,0.068736771,0.058085358,0,0.071060156,0.069130931,0.071332231,0.066400604,0.067547185,0.072036963,0.066726859,0.07005157,0.072677955,0.069375359,0.104188943,0.111635975,0.101118377,0.099235141,0.099696552,0.099455168,0.097953521,0.097470903,0.083918919,0.088023083,0.083928972,0.119053493
QUIN_LP_59_,0.073968242,0.073596191,0.07455068,0.07395636,0.076631233,0.074321993,0.070936842,0.077045783,0.076816202,0.072366301,0.07408123,0.0725967,0.073387073,0.072071483,0.072965909,0.07483707,0.072167229,0.073704901,0.074113991,0.07296826,0.071023101,0.074205808,0.071060156,0,0.072810026,0.076465809,0.070047306,0.07086327,0.074541448,0.070184868,0.073577788,0.074091775,0.0721036,0.10649201,0.114574127,0.10375818,0.10191233,0.102444651,0.10263003,0.100826157,0.100333558,0.085339709,0.089619087,0.084220158,0.120570665
QUIN_LP_5_,0.065968749,0.063779185,0.066612802,0.066640996,0.070305595,0.062770262,0.073285654,0.067800212,0.06754534,0.068818263,0.064978233,0.065981922,0.071355016,0.063467391,0.063661994,0.067302862,0.074369516,0.071664874,0.062678865,0.062343484,0.063923537,0.066344855,0.069130931,0.072810026,0,0.068237429,0.061920236,0.060045543,0.067664857,0.059035063,0.064296619,0.065047432,0.071286792,0.10034114,0.108265673,0.09700728,0.094980277,0.095434834,0.094994142,0.093227416,0.09316581,0.080750589,0.085131694,0.081090188,0.115598379
QUIN_LP_61_,0.071252842,0.067470312,0.064793482,0.070499078,0.072683082,0.071443518,0.07763434,0.071607848,0.071374395,0.069412082,0.067702291,0.065658158,0.072992034,0.069152824,0.070144165,0.06829917,0.07760276,0.07664298,0.071266367,0.067388529,0.066108077,0.067309519,0.071332231,0.076465809,0.068237429,0,0.053950863,0.066134933,0.069034028,0.064241835,0.069715223,0.071168246,0.074508043,0.105856951,0.113804707,0.103105164,0.100651658,0.101204777,0.101072965,0.099582588,0.099450787,0.085003514,0.088362069,0.083995957,0.120507992
QUIN_LP_62_,0.06625719,0.061920134,0.061916514,0.065307826,0.067075659,0.06639777,0.072579173,0.067664707,0.067509175,0.065770153,0.063442243,0.062431675,0.067820141,0.064010942,0.062826289,0.063150477,0.072588863,0.070612403,0.066350018,0.061984968,0.060215625,0.063631839,0.066400604,0.070047306,0.061920236,0.053950863,0,0.060849122,0.064071054,0.057646656,0.06454174,0.064239339,0.068471671,0.100289593,0.107790066,0.096897333,0.094587576,0.095419508,0.094746532,0.093386078,0.093118896,0.079242835,0.083145743,0.078655085,0.114518074
QUIN_LP_63_,0.064964685,0.058346982,0.066745973,0.065961463,0.069731163,0.065452452,0.072866816,0.068358555,0.068332584,0.068048311,0.064299256,0.064977868,0.069923656,0.064942511,0.065079311,0.066612178,0.071114057,0.071288906,0.065243184,0.06415506,0.063746161,0.065737464,0.067547185,0.07086327,0.060045543,0.066134933,0.060849122,0,0.067691542,0.058612962,0.063976336,0.066572752,0.069416611,0.100545327,0.108342207,0.096993265,0.095022396,0.095997723,0.095465044,0.093529547,0.093270286,0.080617668,0.084705648,0.080402263,0.115426903
QUIN_LP_64_,0.072561289,0.068261424,0.066252094,0.059835504,0.074009584,0.071761318,0.075657372,0.070278804,0.070150584,0.068901974,0.067906533,0.06613956,0.071815912,0.069525723,0.069867203,0.07102784,0.077217096,0.074553616,0.071592361,0.068220046,0.042886743,0.068537049,0.072036963,0.074541448,0.067664857,0.069034028,0.064071054,0.067691542,0,0.065271734,0.070776776,0.07190198,0.07312507,0.106191106,0.113824823,0.102982607,0.101134679,0.101642521,0.1013646,0.099898453,0.099347702,0.083759297,0.087414185,0.083294703,0.120134539
QUIN_LP_65_,0.066410855,0.053311426,0.064387376,0.064365201,0.063842443,0.063966438,0.07213077,0.06754635,0.067336709,0.065840621,0.064747803,0.063771432,0.069480215,0.062830032,0.060218874,0.060221329,0.070676672,0.070500468,0.063726606,0.061828369,0.061619333,0.065273542,0.066726859,0.070184868,0.059035063,0.064241835,0.057646656,0.058612962,0.065271734,0,0.063239258,0.062904022,0.067332067,0.099718781,0.107190792,0.096452194,0.094017345,0.094829666,0.094193789,0.092551401,0.092514591,0.078936645,0.082751549,0.078745381,0.114256402
QUIN_LP_7_,0.067503668,0.066376665,0.068885609,0.069918885,0.071467655,0.066005141,0.075193669,0.069597684,0.069407163,0.069466796,0.066003421,0.067235596,0.071178963,0.060647308,0.062851697,0.068207802,0.074867365,0.073361363,0.065824379,0.059241211,0.067328961,0.067528387,0.07005157,0.073577788,0.064296619,0.069715223,0.06454174,0.063976336,0.070776776,0.063239258,0,0.067535992,0.071681664,0.103579516,0.111481394,0.100831438,0.098707548,0.098906924,0.098959424,0.097435116,0.096929448,0.082910671,0.086986229,0.081963949,0.118620573
QUIN_LP_8_,0.069519059,0.068078839,0.070445711,0.070875425,0.072857065,0.067280666,0.073973588,0.073416354,0.073206076,0.071901334,0.07076706,0.070090575,0.074083101,0.061713426,0.067351884,0.06907127,0.07603916,0.074870006,0.067065108,0.066122589,0.068618187,0.071480911,0.072677955,0.074091775,0.065047432,0.071168246,0.064239339,0.066572752,0.07190198,0.062904022,0.067535992,0,0.073593672,0.104814323,0.112877089,0.102340446,0.100145365,0.100647049,0.100264351,0.098826724,0.098331496,0.084303705,0.088700035,0.083167288,0.120029565
QUIN_LP_58_,0.073020753,0.071041135,0.071234044,0.072962953,0.0753443,0.07279556,0.073780478,0.075895775,0.075676622,0.070363938,0.072211473,0.070526907,0.072773915,0.071321656,0.070259828,0.07260983,0.072362342,0.071090941,0.072669762,0.070757178,0.069868449,0.072409562,0.069375359,0.0721036,0.071286792,0.074508043,0.068471671,0.069416611,0.07312507,0.067332067,0.071681664,0.073593672,0,0.104812027,0.113334387,0.102358367,0.100245714,0.101231385,0.101229846,0.099457345,0.099146968,0.084297063,0.088274709,0.083826094,0.120070767
COM_LP_269_Du-703,0.104830257,0.104367582,0.105100468,0.104838314,0.108097718,0.104037968,0.107675676,0.107124798,0.106772411,0.104538118,0.103026836,0.103816913,0.106395393,0.101837569,0.104168349,0.105981035,0.108148635,0.107053654,0.103898478,0.103409686,0.101548498,0.104410639,0.104188943,0.10649201,0.10034114,0.105856951,0.100289593,0.100545327,0.106191106,0.099718781,0.103579516,0.104814323,0.104812027,0,0.092366789,0.094540422,0.093053319,0.094593128,0.095424169,0.092796545,0.092023466,0.105292783,0.110310968,0.108931646,0.11683718
DOV_LP_080_Du-176,0.112689171,0.112275468,0.113067471,0.112636027,0.115942725,0.111967104,0.115709069,0.113879949,0.113551423,0.112361506,0.11021103,0.1112585,0.113739674,0.110060721,0.112155652,0.113418648,0.116004605,0.114553082,0.11175209,0.111110416,0.108755987,0.111870217,0.111635975,0.114574127,0.108265673,0.113804707,0.107790066,0.108342207,0.113824823,0.107190792,0.111481394,0.112877089,0.113334387,0.092366789,0,0.102117254,0.103305385,0.105063833,0.103748889,0.102888805,0.101306618,0.111518021,0.116522982,0.115113511,0.120372866
RIC_LP_199_Du-528,0.101566219,0.101460875,0.101771277,0.101762476,0.105458649,0.101452685,0.104617619,0.103305151,0.10294169,0.101367016,0.099731018,0.10018177,0.102739354,0.099649943,0.101648665,0.103046059,0.104957479,0.103908178,0.101197658,0.100342483,0.097749968,0.101416862,0.101118377,0.10375818,0.09700728,0.103105164,0.096897333,0.096993265,0.102982607,0.096452194,0.100831438,0.102340446,0.102358367,0.094540422,0.102117254,0,0.076055324,0.077151187,0.077989679,0.074995206,0.074446714,0.098729157,0.104175587,0.103604525,0.113922546
CROB_LP_177_Du-389,0.099775094,0.0995233,0.099633945,0.100032311,0.103204604,0.099410778,0.102750266,0.102121814,0.101698143,0.099458485,0.098087799,0.098684395,0.101283871,0.096806374,0.099453407,0.100816876,0.102913605,0.101373732,0.099142461,0.098069982,0.095797779,0.099670568,0.099235141,0.10191233,0.094980277,0.100651658,0.094587576,0.095022396,0.101134679,0.094017345,0.098707548,0.100145365,0.100245714,0.093053319,0.103305385,0.076055324,0,0.069938654,0.072093349,0.068375514,0.06657166,0.096096866,0.101690073,0.101177127,0.10892481
KIRN_LP_184_Du-426,0.100365235,0.1002154,0.099925045,0.100307266,0.103673665,0.099554581,0.102917587,0.10258812,0.102155512,0.099915242,0.097947772,0.098744714,0.101770286,0.097424038,0.099789342,0.101682098,0.103743975,0.101899882,0.099338119,0.098538883,0.096702963,0.0997516,0.099696552,0.102444651,0.095434834,0.101204777,0.095419508,0.095997723,0.101642521,0.094829666,0.098906924,0.100647049,0.101231385,0.094593128,0.105063833,0.077151187,0.069938654,0,0.07237405,0.067700886,0.067532514,0.096860648,0.101966182,0.101774278,0.111087191
MALV_LP_095_Du-201,0.100211939,0.099976235,0.099672947,0.100274454,0.103920267,0.099810757,0.103210472,0.102664882,0.102230932,0.09970265,0.098222512,0.098886844,0.101866422,0.097385854,0.099580586,0.101747052,0.103939881,0.102025799,0.099619454,0.098299373,0.096159224,0.099759183,0.099455168,0.10263003,0.094994142,0.101072965,0.094746532,0.095465044,0.1013646,0.094193789,0.098959424,0.100264351,0.101229846,0.095424169,0.103748889,0.077989679,0.072093349,0.07237405,0,0.070907993,0.069051031,0.096814961,0.102394368,0.101858997,0.110764335
TULP_LP_120_Du-248,0.098567056,0.098404371,0.098394089,0.098578323,0.102306416,0.097798904,0.101491361,0.100583467,0.100139318,0.098422266,0.096100868,0.097017715,0.099831722,0.095638504,0.098028088,0.100283347,0.10251771,0.100472326,0.09759969,0.096844276,0.094575277,0.098084903,0.097953521,0.100826157,0.093227416,0.099582588,0.093386078,0.093529547,0.099898453,0.092551401,0.097435116,0.098826724,0.099457345,0.092796545,0.102888805,0.074995206,0.068375514,0.067700886,0.070907993,0,0.065500577,0.095263781,0.100613396,0.100308729,0.110697558
DUD_LP_136_Du-287,0.098443917,0.098137814,0.097823614,0.098066492,0.101571095,0.097552616,0.100613856,0.100070221,0.099597845,0.097436724,0.095881152,0.09668369,0.099027365,0.095352305,0.097429334,0.099308117,0.10083907,0.099905825,0.097364037,0.096626799,0.094149209,0.097677746,0.097470903,0.100333558,0.09316581,0.099450787,0.093118896,0.093270286,0.099347702,0.092514591,0.096929448,0.098331496,0.099146968,0.092023466,0.101306618,0.074446714,0.06657166,0.067532514,0.069051031,0.065500577,0,0.095283096,0.100253634,0.100024354,0.108700503
STI_LP_034_Du-52,0.084655964,0.08263617,0.082998101,0.083972249,0.086780574,0.084190389,0.086720592,0.085752232,0.085499626,0.083754214,0.082595852,0.082706653,0.085594741,0.081972336,0.083345247,0.084439956,0.087293843,0.085572845,0.083954784,0.082627868,0.080258053,0.083809213,0.083918919,0.085339709,0.080750589,0.085003514,0.079242835,0.080617668,0.083759297,0.078936645,0.082910671,0.084303705,0.084297063,0.105292783,0.111518021,0.098729157,0.096096866,0.096860648,0.096814961,0.095263781,0.095283096,0,0.078177475,0.08012105,0.115077143
RSV_LP_050_Du-87,0.088628243,0.086402551,0.086841959,0.087820636,0.091117896,0.08854623,0.091230596,0.09024266,0.090026658,0.087709101,0.087037381,0.087222663,0.090124215,0.086019676,0.087463592,0.08850587,0.091318425,0.089529961,0.088305866,0.086456113,0.083960104,0.088105923,0.088023083,0.089619087,0.085131694,0.088362069,0.083145743,0.084705648,0.087414185,0.082751549,0.086986229,0.088700035,0.088274709,0.110310968,0.116522982,0.104175587,0.101690073,0.101966182,0.102394368,0.100613396,0.100253634,0.078177475,0,0.083398997,0.11934092
QUI1_LP_255_Du-654,0.083847229,0.082387275,0.08274374,0.083120799,0.085721099,0.083308807,0.086303372,0.086047393,0.085818442,0.082921352,0.082700775,0.082619405,0.085425708,0.080491842,0.082332445,0.083573897,0.086597027,0.084950733,0.083093191,0.082043141,0.079699279,0.083656098,0.083928972,0.084220158,0.081090188,0.083995957,0.078655085,0.080402263,0.083294703,0.078745381,0.081963949,0.083167288,0.083826094,0.108931646,0.115113511,0.103604525,0.101177127,0.101774278,0.101858997,0.100308729,0.100024354,0.08012105,0.083398997,0,0.118987766
BAI_LP_105_Du-222,0.119886407,0.119218771,0.119227318,0.119450054,0.122481031,0.119371647,0.12193441,0.121402376,0.12115019,0.118865161,0.118090448,0.118259007,0.120568771,0.117059662,0.119168094,0.119721552,0.122419984,0.121429182,0.119199936,0.118285255,0.115416341,0.119324075,0.119053493,0.120570665,0.115598379,0.120507992,0.114518074,0.115426903,0.120134539,0.114256402,0.118620573,0.120029565,0.120070767,0.11683718,0.120372866,0.113922546,0.10892481,0.111087191,0.110764335,0.110697558,0.108700503,0.115077143,0.11934092,0.118987766,0
