"","QUIN_LP_10_","QUIN_LP_11_","QUIN_LP_14_","QUIN_LP_17_","QUIN_LP_19_","QUIN_LP_1_","QUIN_LP_20_","QUIN_LP_22_","QUIN_LP_25_","QUIN_LP_26_","QUIN_LP_29_","QUIN_LP_31_","QUIN_LP_32_","QUIN_LP_37_","QUIN_LP_40_","QUIN_LP_41_","QUIN_LP_44_","QUIN_LP_52_","QUIN_LP_56_","QUIN_LP_58_","QUIN_LP_59_","QUIN_LP_5_","QUIN_LP_7_","QUIN_LP_8_"
"QUIN_LP_29_",30.8,32.64,21.05,40.76,26.87,43.54,37.82,26.84,0.45,0.32,0,27.09,27.42,26.89,38.09,38.52,42.92,19.77,0.29,19.77,20.22,49.85,27.07,27.36
"QUIN_LP_31_",3.83,5.72,10.63,13.75,30.25,16.68,56.42,30.47,26.65,26.78,27.09,0,0.35,30.12,56.78,57.34,16.05,12.06,26.81,9.55,9.26,23.08,0.02,0.28
"QUIN_LP_32_",3.48,5.37,10.93,13.43,30.52,16.33,56.75,30.73,26.99,27.11,27.42,0.35,0,30.39,57.11,57.67,15.71,12.37,27.14,9.79,9.49,22.73,0.37,0.07
"QUIN_LP_37_",33.13,34.67,19.75,38.3,0.17,43.72,30.02,0.45,26.84,26.86,26.89,30.12,30.39,0,30.4,31,43.16,18.66,26.86,31.4,31.64,49.59,30.11,30.34
"QUIN_LP_40_",60.39,62.18,46.35,67.48,30.23,72.39,0.38,29.95,38.41,38.32,38.09,56.78,57.11,30.4,0,0.6,71.78,44.81,38.3,54,54.39,78.6,56.76,57.04
"QUIN_LP_41_",60.95,62.75,46.92,68.06,30.83,72.97,0.98,30.55,38.84,38.75,38.52,57.34,57.67,31,0.6,0,72.36,45.38,38.73,54.52,54.91,79.18,57.32,57.6
"QUIN_LP_44_",12.23,10.35,25.59,5.56,43.31,0.63,71.42,43.56,42.48,42.61,42.92,16.05,15.71,43.16,71.78,72.36,0,27.19,42.64,23.8,23.37,7.04,16.07,15.77
"QUIN_LP_52_",15.58,17.37,1.63,23.47,18.77,27.81,44.45,18.96,19.42,19.52,19.77,12.06,12.37,18.66,44.81,45.38,27.19,0,19.55,13.25,13.41,34.15,12.04,12.31
"QUIN_LP_56_",30.52,32.36,20.82,40.48,26.84,43.25,38.02,26.81,0.16,0.03,0.29,26.81,27.14,26.86,38.3,38.73,42.64,19.55,0,19.48,19.93,49.56,26.79,27.08
"QUIN_LP_58_",12.44,14.03,12.8,22.76,31.49,24.38,53.67,31.64,19.32,19.45,19.77,9.55,9.79,31.4,54,54.52,23.8,13.25,19.48,0,0.45,30.51,9.54,9.74
"QUIN_LP_59_",12.07,13.64,12.91,22.38,31.73,23.96,54.06,31.89,19.77,19.9,20.22,9.26,9.49,31.64,54.39,54.91,23.37,13.41,19.93,0.45,0,30.07,9.25,9.44
"QUIN_LP_5_",19.25,17.37,32.54,11.3,49.75,6.41,78.23,50.01,49.41,49.53,49.85,23.08,22.73,49.59,78.6,79.18,7.04,34.15,49.56,30.51,30.07,0,23.1,22.8
"QUIN_LP_7_",3.85,5.74,10.61,13.77,30.24,16.7,56.4,30.45,26.63,26.76,27.07,0.02,0.37,30.11,56.76,57.32,16.07,12.04,26.79,9.54,9.25,23.1,0,0.3
"QUIN_LP_8_",3.55,5.44,10.87,13.5,30.47,16.4,56.68,30.68,26.92,27.05,27.36,0.28,0.07,30.34,57.04,57.6,15.77,12.31,27.08,9.74,9.44,22.8,0.3,0
